datetime,code,action,volume,price,commission,tax,pnl,amount
2020-03-27,603733.SH,buy,1300,14.054039999999997,5.481075599999999,0.0,0.0,18270.251999999997
2020-04-03,002942.SZ,sell,900,24.45552,6.6029903999999995,22.009968,339.5149419200038,22009.968
2020-04-03,300354.SZ,sell,1600,11.22876,5.389804799999999,17.966016,-475.9194809599979,17966.016
2020-04-03,300746.SZ,sell,1600,11.188799999999999,5.370623999999999,17.902079999999998,-87.31972479999936,17902.079999999998
2020-04-03,300749.SZ,sell,1500,11.29869,5.0844105,16.948035,-586.6619258499942,16948.035
2020-04-03,603733.SH,sell,1300,14.13585,5.5129814999999995,18.376605,82.2796474500034,18376.605
2020-04-03,600019.SH,buy,3800,4.79479,5.4660606,0.0,0.0,18220.202
2020-04-03,600348.SH,buy,4000,4.61461,5.537531999999999,0.0,0.0,18458.44
2020-04-03,600188.SH,buy,2100,8.55855,5.3918865,0.0,0.0,17972.955
2020-04-03,000036.SZ,buy,5300,3.47347,5.5228173,0.0,0.0,18409.391
2020-04-03,600507.SH,buy,2300,8.048039999999999,5.553147599999999,0.0,0.0,18510.492
2020-04-13,600019.SH,buy,800,4.84484,5.0,0.0,0.0,3875.872
2020-04-20,600348.SH,sell,4000,4.5854099999999995,5.502491999999999,18.341639999999998,-140.82754840000135,18341.64
2020-04-20,600507.SH,sell,3427,5.41458,5.566729698,18.555765660000002,20.96560698540047,18555.76566
2020-04-20,600019.SH,buy,600,4.894889999999999,5.0,0.0,0.0,2936.9339999999997
2020-04-20,000036.SZ,buy,800,3.5135099999999992,5.0,0.0,0.0,2810.8079999999995
2020-04-20,601003.SH,buy,3600,5.045039999999999,5.4486431999999985,0.0,0.0,18162.143999999997
2020-04-20,600188.SH,buy,1400,8.628619999999998,5.0,0.0,0.0,12080.067999999997
2020-04-20,002713.SZ,buy,100,6.25625,5.0,0.0,0.0,625.625
2020-04-27,000036.SZ,sell,6100,3.87612,7.093299599999999,23.644332,2393.158925079999,23644.332
2020-04-27,601003.SH,sell,3600,4.96503,5.3622324,17.874108,-311.4510814799989,17874.108
2020-04-27,600019.SH,buy,200,4.834829999999999,5.0,0.0,0.0,966.9659999999999
2020-04-27,600188.SH,buy,1100,8.26826,5.0,0.0,0.0,9095.086
2020-04-27,002713.SZ,buy,2900,6.156149999999999,5.355850499999999,0.0,0.0,17852.835
2020-04-27,002540.SZ,buy,3100,4.3043,5.0,0.0,0.0,13343.329999999998
2020-05-07,002540.SZ,sell,3100,4.33566,5.0,13.440546000000001,78.64104854000087,13440.546
2020-05-07,002713.SZ,sell,3000,6.03396,5.4305639999999995,18.10188,-400.29346279999703,18101.88
2020-05-07,600019.SH,sell,5400,4.82517,7.8167754,26.055918000000002,21.810747419997195,26055.918
2020-05-07,600188.SH,sell,4600,8.2917,11.442545999999998,38.14182,-1056.2547842000033,38141.82
2020-05-07,600444.SH,buy,1900,9.46946,5.397592199999999,0.0,0.0,17991.974
2020-05-07,300354.SZ,buy,1600,11.121109999999998,5.338132799999999,0.0,0.0,17793.775999999998
2020-05-07,300437.SZ,buy,1800,10.25024,5.535129599999999,0.0,0.0,18450.432
2020-05-07,002802.SZ,buy,1000,18.408389999999997,5.522516999999998,0.0,0.0,18408.389999999996
2020-05-07,300488.SZ,buy,1200,15.205189999999998,5.473868399999999,0.0,0.0,18246.228
2020-05-14,300437.SZ,sell,1800,10.07991,5.4431514,18.143838,-330.36242777999973,18143.838
2020-05-14,300488.SZ,sell,1200,15.01497,5.405389199999999,18.017964,-251.86753283999795,18017.964
2020-05-14,600444.SH,buy,100,9.379369999999998,5.0,0.0,0.0,937.9369999999998
2020-05-14,300354.SZ,buy,100,11.201189999999999,5.0,0.0,0.0,1120.119
2020-05-14,002802.SZ,buy,400,19.919899999999995,5.0,0.0,0.0,7967.959999999998
2020-05-14,603045.SH,buy,1500,12.362349999999998,5.563057499999998,0.0,0.0,18543.524999999998
2020-05-14,300243.SZ,buy,1800,6.886879999999999,5.0,0.0,0.0,12396.383999999998
2020-05-21,002802.SZ,sell,1400,19.76022,8.299292399999999,27.664308000000002,1251.717756520004,27664.308
2020-05-21,600444.SH,sell,2000,9.48051,5.688306,18.96102,6.27006380000427,18961.02
2020-05-21,300243.SZ,buy,900,6.926919999999999,5.0,0.0,0.0,6234.227999999999
2020-05-21,300488.SZ,buy,1200,14.804789999999997,5.329724399999998,0.0,0.0,17765.747999999996
2020-05-21,300605.SZ,buy,1400,12.732719999999999,5.347742399999999,0.0,0.0,17825.807999999997
2020-05-28,300243.SZ,sell,2700,6.993,5.6643300000000005,18.881100000000004,225.7537590000031,18881.100000000002
2020-05-28,600444.SH,buy,1900,9.47947,5.403297899999999,0.0,0.0,18010.993
2020-06-04,300354.SZ,sell,1700,11.30868,5.7674268,19.224756000000003,370.67656964000514,19224.756
2020-06-04,603045.SH,sell,1500,12.79719,5.758735499999999,19.195785,627.1135216500046,19195.785
2020-06-04,300488.SZ,buy,100,16.74673,5.0,0.0,0.0,1674.673
2020-06-04,600444.SH,buy,200,9.83983,5.0,0.0,0.0,1967.966
2020-06-04,000880.SZ,buy,2400,7.857849999999999,5.657651999999999,0.0,0.0,18858.839999999997
2020-06-04,300605.SZ,buy,100,12.99298,5.0,0.0,0.0,1299.298
2020-06-04,300778.SZ,buy,700,25.905879999999996,5.440234799999999,0.0,0.0,18134.115999999998
2020-06-11,300488.SZ,sell,1300,14.975010000000001,5.8402539,19.467513000000004,169.6999679700058,19467.513000000003
2020-06-11,600444.SH,sell,2100,9.93006,6.255937799999998,20.853125999999996,846.8494049399981,20853.125999999997
2020-06-11,002360.SZ,buy,3900,4.884879999999999,5.7153095999999985,0.0,0.0,19051.031999999996
2020-06-11,600475.SH,buy,1600,11.451439999999998,5.496691199999998,0.0,0.0,18322.303999999996
2020-06-11,000880.SZ,buy,600,8.15815,5.0,0.0,0.0,4894.889999999999
2020-06-18,002360.SZ,sell,3900,4.96503,5.809085099999999,19.363616999999998,287.2186617300024,19363.617
2020-06-18,300778.SZ,sell,700,27.72225,5.8216725,19.405575000000002,1246.037696750002,19405.575
2020-06-18,300437.SZ,buy,1900,10.300289999999999,5.871165299999999,0.0,0.0,19570.550999999996
2020-06-18,300354.SZ,buy,1600,11.73172,5.6312256,0.0,0.0,18770.752
2020-06-29,300437.SZ,sell,1900,10.0899,5.751243,19.170810000000003,-424.85476109999723,19170.81
2020-06-29,600475.SH,sell,1600,11.64834,5.591203199999999,18.637344,290.6250793600019,18637.343999999997
2020-06-29,002347.SZ,buy,4700,4.12412,5.815009199999999,0.0,0.0,19383.363999999998
2020-06-29,000880.SZ,buy,700,8.42842,5.0,0.0,0.0,5899.893999999999
2020-06-29,300354.SZ,buy,200,11.921909999999999,5.0,0.0,0.0,2384.3819999999996
