code,segment,kind,time,time_human,field,lib_val,fresh_val,abs_diff
600039,daily,TIME_MISSING_FRESH,1530547200000,2018-07-02 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1530633600000,2018-07-03 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1530720000000,2018-07-04 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1530806400000,2018-07-05 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1531065600000,2018-07-08 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1531152000000,2018-07-09 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1531238400000,2018-07-10 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1531324800000,2018-07-11 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1531411200000,2018-07-12 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1531670400000,2018-07-15 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1531756800000,2018-07-16 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1531843200000,2018-07-17 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1531929600000,2018-07-18 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1532016000000,2018-07-19 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1532275200000,2018-07-22 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1532361600000,2018-07-23 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1532448000000,2018-07-24 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1532534400000,2018-07-25 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1532620800000,2018-07-26 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1532880000000,2018-07-29 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1532966400000,2018-07-30 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1533052800000,2018-07-31 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1533139200000,2018-08-01 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1533225600000,2018-08-02 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1533484800000,2018-08-05 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1533571200000,2018-08-06 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1533657600000,2018-08-07 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1533744000000,2018-08-08 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1533830400000,2018-08-09 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1534089600000,2018-08-12 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1534176000000,2018-08-13 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1534262400000,2018-08-14 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1534348800000,2018-08-15 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1534435200000,2018-08-16 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1534694400000,2018-08-19 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1534780800000,2018-08-20 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1534867200000,2018-08-21 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1534953600000,2018-08-22 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1535040000000,2018-08-23 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1535299200000,2018-08-26 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1535385600000,2018-08-27 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1535472000000,2018-08-28 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1535558400000,2018-08-29 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1535644800000,2018-08-30 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1535904000000,2018-09-02 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1535990400000,2018-09-03 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1536076800000,2018-09-04 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1536163200000,2018-09-05 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1536249600000,2018-09-06 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1536508800000,2018-09-09 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1536595200000,2018-09-10 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1536681600000,2018-09-11 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1536768000000,2018-09-12 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1536854400000,2018-09-13 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1537113600000,2018-09-16 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1537200000000,2018-09-17 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1537286400000,2018-09-18 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1537372800000,2018-09-19 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1537459200000,2018-09-20 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1537804800000,2018-09-24 16:00:00,,,,
