date,total_asset,cash,market_value,benchmark,positions,daily_return
2024-05-09,173114.48608594883,6600.486085948825,166514.0,89.45413003041561,5,0.009728983300152372
2024-05-10,170425.2860859488,6837.2860859488255,163588.0,89.49611627259813,5,-0.015534228595201816
2024-05-13,166906.2860859488,6837.2860859488255,160069.0,89.45730340918523,5,-0.02064834439078067
2024-05-14,168043.2860859488,6837.2860859488255,161206.0,89.27080637995597,5,0.00681220597895571
2024-05-15,166678.65528019881,1241.655280198826,165437.0,88.5143217024933,5,-0.008120710071404025
2024-05-16,170140.65528019881,1241.655280198826,168899.0,88.86339336715017,5,0.020770505942588224
2024-05-17,172632.65528019881,1241.655280198826,171391.0,89.78147625580361,5,0.0146467050799588
2024-05-20,173688.65528019881,1241.655280198826,172447.0,90.0985700267052,5,0.006117035031906415
2024-05-21,170763.65528019881,1241.655280198826,169522.0,89.7372930590883,5,-0.016840478126112002
2024-05-22,172425.80831007884,2118.808310078828,170307.0,89.9396569821656,5,0.009733646349702862
2024-05-23,168029.80831007884,2118.808310078828,165911.0,88.89830053361585,5,-0.02549502329775677
2024-05-24,165694.80831007884,2118.808310078828,163576.0,87.91430900897822,5,-0.0138963438897165
2024-05-27,166338.80831007884,2118.808310078828,164220.0,88.74988404962188,5,0.0038866637196912635
2024-05-28,164180.80831007884,2118.808310078828,162062.0,88.10202656850349,5,-0.012973520863376553
2024-05-29,164365.50130619883,6253.501306198843,158112.0,88.20821270425576,5,0.0011249365746279771
2024-05-30,163815.50130619883,6253.501306198843,157562.0,87.7392849645314,5,-0.003346200970575919
2024-05-31,166537.50130619883,6253.501306198843,160284.0,87.38801634534173,5,0.01661625412916279
2024-06-03,161951.50130619883,6253.501306198843,155698.0,87.60356199561585,5,-0.027537341223632827
2024-06-04,157084.50130619883,6253.501306198843,150831.0,88.26069550698388,5,-0.030052206745512344
2024-06-05,152126.28811178886,6532.288111788854,145594.0,87.75100205537302,5,-0.03156398723732212
2024-06-06,143664.28811178886,6532.288111788854,137132.0,87.68899911633606,5,-0.05562483713388022
2024-06-07,150332.88811178887,7069.888111788854,143263.0,87.24619072494619,5,0.04641793787201309
2024-06-11,149671.88811178887,7069.888111788854,142602.0,86.4838475020627,5,-0.0043969088088594566
2024-06-12,153877.88811178887,7629.888111788854,146248.0,86.51411665340358,5,0.028101469508145405
2024-06-13,153122.94336055886,7866.943360558853,145256.0,86.07496985290169,5,-0.004906128882413263
2024-06-14,153078.54336055886,8340.543360558853,144738.0,86.45089318407062,5,-0.0002899630782008389
2024-06-17,149901.54336055886,8340.543360558853,141561.0,86.32078465451669,5,-0.020754051679972796
2024-06-18,155761.54336055886,8340.543360558853,147421.0,86.55000024410606,5,0.0390923259936351
2024-06-19,156001.54336055886,8340.543360558853,147661.0,86.13892564041224,5,0.0015408167819987995
2024-06-20,150775.23946734885,8909.239467348852,141866.0,85.51718750762832,5,-0.033501616590617345
2024-06-21,149983.23946734885,8909.239467348852,141074.0,85.33020226628065,5,-0.0052528518793797385
2024-06-24,143503.23946734885,8909.239467348852,134594.0,84.87103876892432,5,-0.043204827572821514
2024-06-25,145032.23946734885,8909.239467348852,136123.0,84.40943421097599,5,0.010654811735785863
2024-06-26,150041.23946734885,8909.239467348852,141132.0,84.95525535934854,5,0.03453714855673651
2024-06-27,148074.38175925886,7885.381759258849,140189.0,84.31716212059816,5,-0.01310878072636823
2024-06-28,147975.38175925886,7885.381759258849,140090.0,84.50121808923541,5,-0.0006685829028882928
2024-07-01,148506.38175925886,7885.381759258849,140621.0,84.90448129903481,5,0.0035884347361501145
2024-07-02,148947.38175925886,7885.381759258849,141062.0,84.74849752720563,5,0.0029695693530187306
2024-07-03,147051.38175925886,7885.381759258849,139166.0,84.54393664959552,5,-0.012729327481999508
2024-07-04,141715.30657795887,6991.306577958858,134724.0,84.11430998540246,5,-0.03628714750899653
2024-07-05,143463.30657795887,6991.306577958858,136472.0,83.75425354808156,5,0.012334588564986149
2024-07-08,140151.30657795887,6991.306577958858,133160.0,83.03902279462382,5,-0.023086042549843477
2024-07-09,142922.30657795887,6991.306577958858,135931.0,83.9678463498821,5,0.019771488883399302
2024-07-10,142254.30657795887,6991.306577958858,135263.0,83.70323538170864,5,-0.004673868033578277
2024-07-11,146252.89186689886,7479.891866898863,138773.0,84.66013113377501,5,0.028108711680715714
2024-07-12,147346.89186689886,7479.891866898863,139867.0,84.76338799681686,5,0.007480193971108662
2024-07-15,145672.89186689886,7479.891866898863,138193.0,84.85736882960909,5,-0.011360945445066828
2024-07-16,145037.89186689886,7479.891866898863,137558.0,85.39513447802803,5,-0.004359081445161395
2024-07-17,144175.89186689886,7479.891866898863,136696.0,85.4756894775642,5,-0.005943274470584958
2024-07-18,143468.86154689887,6314.861546898865,137154.0,85.94803470211737,5,-0.0049039427524589785
2024-07-19,144575.86154689887,6314.861546898865,138261.0,86.38962256321126,5,0.007715960021318802
2024-07-22,145458.86154689887,6314.861546898865,139144.0,85.80132696053782,5,0.006107520235759223
2024-07-23,142100.86154689887,6314.861546898865,135786.0,83.96955509229652,5,-0.02308556497891545
2024-07-24,138568.86154689887,6314.861546898865,132254.0,83.439600837772,5,-0.024855584699142064
2024-07-25,140970.50461027888,4771.504610278873,136199.0,82.97824038588286,5,0.01733176585684193
2024-07-26,144616.50461027888,4771.504610278873,139845.0,83.22283465720186,5,0.025863566354391576
2024-07-29,144009.50461027888,4771.504610278873,139238.0,82.77001791738473,5,-0.0041973079188698525
2024-07-30,144727.50461027888,4771.504610278873,139956.0,82.24860737493228,5,0.004985782028367192
2024-07-31,151424.50461027888,4771.504610278873,146653.0,84.02325842532063,5,0.04627316706685192
2024-08-01,150585.61174947888,5699.611749478881,144886.0,83.46645250428406,5,-0.005540007299076555
2024-08-02,148149.61174947888,5699.611749478881,142450.0,82.61501056979236,5,-0.016176844332595586
2024-08-05,144730.61174947888,5699.611749478881,139031.0,81.6124669846555,5,-0.023078022005089904
2024-08-06,148765.61174947888,5699.611749478881,143066.0,81.60416737864267,5,0.027879381916690704
2024-08-07,149496.61174947888,5699.611749478881,143797.0,81.56779557582178,5,0.004913769999689288
