code,end_date,fi_ann_date,fi_eps_orig,fi_data_source,ic_ann_date,ic_basic_eps
002402,1711814400000,1713542400000,,mcp,1713542400000,0.1036
002428,1688054400000,1692892800000,,mcp,1692892800000,-0.011
002428,1703952000000,1711641600000,,mcp,1711641600000,0.01
002429,1696003200000,1697817600000,,mcp,1697817600000,0.281
002442,1719676800000,1723737600000,,mcp,1723737600000,0.1284
002451,1711814400000,1714406400000,,mcp,1714406400000,0.0097
002463,1767110400000,1774368000000,,mcp,1774368000000,1.9875
002468,1727625600000,1730304000000,,mcp,1730304000000,0.4338
002476,1688054400000,1693238400000,,mcp,1693238400000,-0.0065
002490,1719676800000,1724947200000,,mcp,1724947200000,0.2132
002492,1696003200000,1698422400000,,mcp,1698422400000,0.2135
002495,1703952000000,1714060800000,,mcp,1714060800000,-0.0478
002500,1727625600000,1730304000000,,mcp,1730304000000,0.15
002513,1751212800000,1756310400000,,mcp,1756310400000,-0.1193
002546,1688054400000,1692374400000,,mcp,1692374400000,0.1324
002546,1759161600000,1761062400000,,mcp,1761062400000,0.6414
002547,1751212800000,1756396800000,,mcp,1756396800000,-0.1143
002548,1696003200000,1698422400000,,mcp,1698422400000,-0.38
002550,1727625600000,1729180800000,,mcp,1729180800000,0.2471
002557,1751212800000,1755792000000,,mcp,1755792000000,0.1748
002560,1696003200000,1698163200000,,mcp,1698163200000,0.21
002561,1703952000000,1711728000000,,mcp,1711728000000,0.18
002563,1688054400000,1693238400000,,mcp,1693238400000,0.19
002564,1696003200000,1698422400000,,mcp,1698422400000,-1.02
002586,1696003200000,1698422400000,,mcp,1698422400000,-0.0761
002600,1696003200000,1698422400000,,mcp,1698422400000,0.27
002600,1743350400000,1745856000000,,mcp,1745856000000,0.08
002615,1711814400000,1714406400000,,mcp,1714406400000,0.0675
002616,1688054400000,1693324800000,,mcp,1693324800000,0.1035
002626,1703952000000,1714406400000,,mcp,1714406400000,0.45
002636,1751212800000,1756483200000,,mcp,1756483200000,0.1
002643,1696003200000,1698422400000,,mcp,1698422400000,0.633
002647,1751212800000,1756396800000,,mcp,1756396800000,0.38
002662,1751212800000,1756396800000,,mcp,1756396800000,0.07
002668,1751212800000,1756483200000,,mcp,1756483200000,0.59
002669,1743350400000,1745856000000,,mcp,1745856000000,0.021
002671,1751212800000,1756396800000,,mcp,1756396800000,0.0674
002672,1688054400000,1692979200000,,mcp,1692979200000,-0.2
002673,1703952000000,1713888000000,,mcp,1713888000000,0.2608
002678,1696003200000,1698422400000,,mcp,1698422400000,0.01
002678,1774886400000,1777478400000,,mcp,1777478400000,-0.03
002681,1727625600000,1730304000000,,mcp,1730304000000,0.08
002693,1696003200000,1698422400000,,mcp,1698422400000,-0.0039
002698,1696003200000,1698422400000,,mcp,1698422400000,0.425
002706,1696003200000,1698422400000,,mcp,1698422400000,0.38
002707,1735574400000,1745856000000,,mcp,1745856000000,0.108
002713,1719676800000,1724860800000,,mcp,1724860800000,-1.29
002715,1711814400000,1714147200000,,mcp,1714147200000,0.0352
002724,1759161600000,1761580800000,,mcp,1761580800000,0.071
002728,1688054400000,1693238400000,,mcp,1693238400000,0.47
002730,1767110400000,1775750400000,,mcp,1775750400000,0.19
002733,1703952000000,1714406400000,,mcp,1714406400000,0.36
002736,1711814400000,1714406400000,,mcp,1714406400000,0.09
002736,1751212800000,1756483200000,,mcp,1756483200000,0.49
002741,1727625600000,1730304000000,,mcp,1730304000000,0.017
002752,1767110400000,1773763200000,,mcp,1773763200000,0.31
002755,1688054400000,1693411200000,,mcp,1693411200000,-0.17
002771,1703952000000,1714060800000,,mcp,1714060800000,-0.23
002786,1751212800000,1756483200000,,mcp,1756483200000,-0.05
002797,1696003200000,1698422400000,,mcp,1698422400000,0.078
002808,1759161600000,1761321600000,,mcp,1761321600000,-0.0917
002811,1719676800000,1724083200000,,mcp,1724083200000,0.24
002820,1688054400000,1692374400000,,mcp,1692374400000,0.2
002826,1703952000000,1714060800000,,mcp,1714060800000,0.08
